scenario,run,agents,observations,states,missing,RFN,KL,Inaccuracy
polar,0,150,150,32,0.8,1.328675814,510.1983109,0.166084477
polar,0,300,500,32,0,0.872783606,42.7724125,0.109097951
polar,0,300,500,32,0.2,0.874592119,43.17198514,0.109324015
polar,0,300,500,32,0.4,0.873202519,43.30543957,0.109150315
polar,0,300,500,32,0.6,0.881829748,75.24324871,0.110228718
polar,0,300,500,32,0.8,0.927528667,185.8578946,0.115941083
polar,0,150,150,32,0,1.134645269,438.7972889,0.141830659
polar,0,150,150,32,0.2,1.167289979,484.4162403,0.145911247
polar,0,150,150,32,0.4,1.23509866,521.1389595,0.154387333
polar,0,150,150,32,0.6,1.290713341,509.7553361,0.161339168
polar,0,150,150,32,0.8,1.310415477,432.6070552,0.163801935
polar,0,300,300,16,0,1.063749081,27.25101484,0.188046047
polar,0,300,300,16,0.2,1.059736695,27.07419442,0.187336751
polar,0,300,300,16,0.4,1.067441522,28.1208172,0.188698785
polar,0,300,300,16,0.6,1.076462713,46.6822077,0.190293521
polar,0,300,300,16,0.8,1.09665523,84.07316784,0.193863087
polar,0,150,300,64,0,0.928224544,259.6152139,0.082044234
polar,0,150,300,64,0.2,0.948497859,381.0887727,0.083836158
polar,0,150,300,64,0.4,0.980567699,509.0041273,0.086670759
polar,0,150,300,64,0.6,1.072711671,672.614591,0.094815212
polar,0,150,300,64,0.8,1.592372281,857.9384172,0.140747155
polar,0,150,150,32,0,0.967021912,147.6706867,0.120877739
polar,0,150,150,32,0.2,0.975394426,188.8748208,0.121924303
polar,0,150,150,32,0.4,0.977774491,234.7891392,0.122221811
polar,0,150,150,32,0.6,1.017538815,297.8300148,0.127192352
polar,0,150,150,32,0.8,1.141223707,403.9399969,0.142652963
polar,0,300,300,8,0,0.820579122,8.122143872,0.205144781
polar,0,300,300,8,0.2,0.814523297,7.939234146,0.203630824
polar,0,300,300,8,0.4,0.826443165,8.243258427,0.206610791
polar,0,50,300,4,0,1.163010678,47.38186587,0.411186368
polar,0,300,300,8,0.6,0.812012519,9.755453826,0.20300313
polar,0,50,300,4,0.2,1.189347946,67.53259587,0.420497999
polar,0,50,300,4,0.4,1.223121523,47.98007752,0.432438762
polar,0,50,300,4,0.6,1.212522017,67.81760623,0.42869127
polar,0,50,300,4,0.8,1.257555637,68.14951892,0.444613059
polar,0,300,300,8,0.8,0.840536391,13.64506344,0.210134098
polar,0,50,300,8,0,0.870839047,12.24208792,0.217709762
polar,0,50,300,8,0.2,0.874159893,12.05771584,0.218539973
polar,0,50,300,8,0.4,0.892202003,25.66352653,0.223050501
polar,0,50,300,8,0.6,0.863874296,25.02693553,0.215968574
polar,0,50,300,8,0.8,0.888058813,29.47986686,0.222014703
polar,0,150,150,32,0,1.086025868,332.1994807,0.135753234
polar,0,150,150,32,0.2,1.083075709,381.8682575,0.135384464
polar,0,150,150,32,0.4,1.117169252,424.0010384,0.139646156
polar,0,150,150,32,0.6,1.173450569,505.67188,0.146681321
polar,0,150,150,32,0.8,1.312969362,500.3205402,0.16412117
polar,0,150,150,32,0,1.012973852,210.285015,0.126621731
polar,0,150,150,32,0.2,1.01654699,255.9247935,0.127068374
polar,0,150,150,32,0.4,1.039625054,331.6255414,0.129953132
polar,0,150,150,32,0.6,1.10660651,411.2082435,0.138325814
polar,0,150,150,32,0.8,1.169320726,464.686901,0.146165091
polar,0,150,150,32,0,1.206877979,422.9063236,0.150859747
polar,0,150,150,32,0.2,1.23772033,459.0743619,0.154715041
polar,0,150,150,32,0.4,1.244116576,484.2216435,0.155514572
polar,0,150,150,32,0.6,1.310860193,552.596116,0.163857524
polar,0,150,150,32,0.8,1.433443862,573.3059422,0.179180483
polar,0,300,300,16,0,0.894385722,28.96653832,0.158106552
polar,0,300,300,16,0.2,0.89350237,35.48302714,0.157950396
polar,0,300,300,16,0.4,0.900600655,54.07312647,0.159205208
polar,0,300,300,16,0.6,0.902768858,54.08880245,0.159588495
polar,0,300,300,16,0.8,0.957785017,97.88132339,0.16931407
polar,0,150,300,64,0,1.031696469,421.0292209,0.091189946
polar,0,150,300,64,0.2,1.065550806,460.2996697,0.094182275
polar,0,150,300,64,0.4,1.162953495,581.6884097,0.102791538
polar,0,150,300,64,0.6,1.264958615,731.4808452,0.111807602
polar,0,150,300,64,0.8,1.490978524,852.4932512,0.131785128
polar,0,50,500,4,0,0.871910949,25.21073814,0.308267072
polar,0,50,500,4,0.2,0.911945408,25.22835611,0.322421391
polar,0,50,500,4,0.4,0.896333545,25.24486778,0.316901764
polar,0,50,500,4,0.6,0.892915387,25.23262121,0.315693263
polar,0,50,500,4,0.8,0.876946876,25.40604921,0.310047541
polar,0,50,300,8,0,0.931999477,31.7618862,0.232999869
polar,0,50,300,8,0.2,0.941571742,32.10725823,0.235392935
polar,0,50,300,8,0.4,0.921292856,31.73379194,0.230323214
polar,0,50,300,8,0.6,0.954643597,51.59653321,0.238660899
polar,0,50,300,8,0.8,1.005674783,40.56673589,0.251418696
polar,0,300,300,8,0,0.743738935,7.038191293,0.185934734
polar,0,150,150,32,0,0.980139498,178.5821654,0.122517437
polar,0,300,300,8,0.2,0.745090681,7.065672758,0.18627267
polar,0,150,150,32,0.2,0.98796127,217.1601093,0.123495159
polar,0,150,150,32,0.4,0.993813965,206.9546489,0.124226746
polar,0,150,150,32,0.6,1.003284678,279.2091383,0.125410585
polar,0,150,150,32,0.8,1.056882703,380.8885717,0.132110338
polar,0,300,300,8,0.4,0.745150959,7.051893906,0.18628774
polar,0,300,300,8,0.6,0.73876579,6.946565613,0.184691448
polar,0,300,300,8,0.8,0.751147556,7.126765182,0.187786889
polar,0,150,150,32,0,0.978802011,231.9036983,0.122350251
polar,0,150,150,32,0.2,0.993906201,258.4028093,0.124238275
polar,0,150,150,32,0.4,1.015431413,257.5316635,0.126928927
