Scenario,state,missing,agents,observations,inaccuracy
outlier,16,0.4,50,500,0.071271435
outlier,16,0,150,150,0.017019342
outlier,4,0.2,150,150,0.262262338
outlier,8,0,50,500,0.148214026
outlier,8,0.4,150,150,0.226227892
outlier,4,0.4,150,150,0.232402045
outlier,16,0.6,50,500,0.068022931
outlier,8,0.2,50,500,0.121411102
outlier,4,0.4,50,300,0.0642872
outlier,16,0.6,50,300,0.132027628
outlier,8,0.6,150,150,0.171976589
outlier,4,0.8,50,500,0.202034985
outlier,8,0.6,50,300,0.129720933
outlier,16,0.2,150,150,0.022009352
outlier,4,0.6,150,150,0.172456275
outlier,16,0.8,50,500,0.117729607
outlier,16,0,50,500,0.014551921
outlier,8,0.4,50,500,0.08504878
outlier,8,0.8,150,150,0.176544847
outlier,8,0,150,150,0.016705753
outlier,4,0,50,500,0.202034985
outlier,4,0.8,150,150,0.133250188
outlier,4,0,150,150,0.016814286
outlier,8,0.6,50,500,0.048326845
outlier,16,0.4,150,150,0.046035892
outlier,8,0.6,300,150,0.075945552
outlier,4,0.2,50,500,0.170090064
outlier,4,0.6,300,150,0.080953124
outlier,16,0.8,50,300,0.281981918
outlier,4,0.6,50,300,0.161060659
outlier,8,0.2,150,150,0.021162238
outlier,8,0.8,50,300,0.26827251
outlier,8,0.8,150,300,0.175406056
outlier,8,0.8,50,500,0.043341676
outlier,8,0,50,500,0.015134646
outlier,4,0.2,150,150,0.019940933
outlier,4,0.4,50,500,0.09464014
outlier,16,0.8,300,150,0.230169547
outlier,16,0.6,150,150,0.148093347
outlier,16,0,50,300,0.281981918
outlier,8,0,50,300,0.26827251
outlier,8,0,150,300,0.175406056
outlier,16,0,300,150,0.230169547
outlier,8,0.4,150,150,0.042315159
outlier,4,0.6,50,500,0.038317924
outlier,16,0.2,300,150,0.209130891
outlier,16,0.2,50,300,0.288086877
outlier,4,0.4,150,150,0.03994438
outlier,4,0.8,150,300,0.190475295
outlier,8,0.2,50,300,0.259651562
outlier,8,0.2,150,300,0.150409018
outlier,16,0.4,300,150,0.171647875
outlier,16,0.8,150,150,0.27882116
outlier,4,0.8,50,300,0.267724085
outlier,8,0.4,300,300,0.01571316
outlier,4,0.8,50,500,0.021526228
outlier,4,0,50,500,0.020844269
outlier,16,0.6,300,150,0.160245039
outlier,16,0.4,50,300,0.261126791
outlier,4,0.4,300,300,0.023344518
outlier,8,0.4,50,300,0.235609847
outlier,4,0,150,300,0.190475295
outlier,16,0.8,150,300,0.227596497
outlier,8,0.4,150,300,0.091620231
outlier,8,0.6,150,150,0.132051387
outlier,16,0.8,300,150,0.164838467
outlier,16,0,150,150,0.27882116
outlier,16,0,300,150,0.011167131
outlier,4,0.6,150,150,0.143349079
outlier,4,0,50,300,0.267724085
outlier,16,0.2,300,300,0.011173266
outlier,8,0.8,300,150,0.250893031
outlier,16,0.6,50,300,0.266077907
outlier,8,0.6,50,300,0.249347025
outlier,4,0.8,300,150,0.258191006
outlier,4,0.2,150,300,0.159138497
outlier,8,0.6,150,300,0.059485399
outlier,16,0,150,300,0.227596497
outlier,16,0.2,150,150,0.268186028
outlier,4,0.2,50,300,0.264805459
outlier,16,0.2,50,500,0.017386578
outlier,8,0.8,150,150,0.266731504
outlier,8,0,300,150,0.250893031
outlier,16,0.8,50,300,0.176776202
outlier,16,0,50,300,0.022332097
outlier,8,0.8,50,300,0.20795336
outlier,4,0.4,150,300,0.091469083
outlier,8,0,50,300,0.020564564
outlier,4,0.8,150,150,0.276446651
outlier,4,0,300,150,0.258191006
outlier,8,0.8,150,300,0.084880142
outlier,16,0.2,150,300,0.209586142
outlier,8,0,150,300,0.014268562
outlier,16,0.4,150,150,0.240249863
outlier,4,0.4,50,300,0.246541037
outlier,8,0,150,150,0.266731504
outlier,8,0.2,300,150,0.23960525
outlier,4,0.6,150,300,0.037591573
outlier,4,0.2,300,150,0.246718805
outlier,4,0,150,150,0.276446651
outlier,16,0.6,150,150,0.229573422
outlier,16,0.4,150,300,0.184223701
outlier,8,0.2,50,500,0.017098268
outlier,16,0.2,50,300,0.027774992
outlier,4,0.6,50,300,0.124546694
outlier,8,0.2,50,300,0.02561871
outlier,8,0.2,150,150,0.261824268
outlier,8,0.4,300,150,0.196401643
outlier,4,0.8,150,300,0.017517634
outlier,4,0.4,300,150,0.195705553
outlier,4,0,150,300,0.016000373
outlier,16,0.8,150,150,0.232860677
outlier,4,0.2,150,150,0.27517607
outlier,16,0,150,150,0.022060071
outlier,16,0.2,300,150,0.012732776
outlier,16,0.6,150,300,0.179889191
outlier,4,0.8,50,300,0.096722924
outlier,4,0,50,300,0.019333822
outlier,8,0.4,150,150,0.235226161
outlier,8,0.6,300,150,0.121811774
outlier,4,0.6,300,150,0.085464258
outlier,4,0.4,150,150,0.270167545
outlier,16,0.2,150,150,0.029952434
outlier,16,0.4,50,300,0.055081042
outlier,16,0.8,150,300,0.184486444
outlier,16,0,150,300,0.012482777
outlier,8,0.4,50,300,0.047941802
outlier,8,0.6,150,150,0.161826354
outlier,8,0.8,300,150,0.116849691
outlier,8,0,300,150,0.013517839
outlier,4,0.8,300,150,0.012764858
outlier,4,0.6,150,150,0.207188956
outlier,4,0,300,150,0.015522319
outlier,4,0.2,50,300,0.023488388
outlier,4,0.2,50,500,0.023935464
outlier,16,0.4,150,150,0.061736607
outlier,8,0.8,150,150,0.173823416
outlier,8,0,150,150,0.01989447
outlier,16,0.6,50,300,0.162595808
outlier,4,0.8,150,150,0.111516153
outlier,4,0,150,150,0.046160721
outlier,8,0.6,50,300,0.152817825
outlier,16,0.6,150,150,0.170570857
outlier,8,0.2,150,150,0.027420987
outlier,16,0.4,300,150,0.022449667
outlier,4,0.4,50,300,0.045408335
outlier,16,0.4,50,500,0.030022092
outlier,4,0.2,150,150,0.059066169
outlier,16,0.8,150,150,0.276171871
outlier,16,0.8,50,300,0.317622946
outlier,8,0.4,150,150,0.058782445
outlier,8,0.8,50,300,0.273052813
outlier,8,0.2,300,150,0.017094969
outlier,8,0.2,150,300,0.015678569
outlier,4,0.4,150,150,0.102282633
outlier,4,0.2,300,150,0.017907093
outlier,16,0,150,150,0.276171871
outlier,8,0.4,50,500,0.024965293
outlier,4,0.6,50,300,0.146562746
outlier,4,0.4,150,500,0.016617008
outlier,16,0,50,300,0.317622946
outlier,8,0.6,150,150,0.166667613
outlier,8,0,50,300,0.273052813
outlier,4,0.6,150,150,0.194638985
outlier,16,0.2,150,150,0.27972953
outlier,8,0.4,150,500,0.017857801
outlier,16,0.2,50,300,0.311651008
outlier,4,0.2,150,300,0.016549423
outlier,8,0.8,150,150,0.269883104
outlier,8,0.2,50,300,0.27251692
outlier,16,0.6,300,150,0.077728908
outlier,4,0.8,50,300,0.27174639
outlier,4,0.8,150,150,0.286650207
outlier,16,0.4,150,150,0.273493875
outlier,16,0.4,150,500,0.017506622
outlier,16,0.4,50,300,0.324581226
outlier,8,0,150,150,0.269883104
outlier,8,0.4,300,150,0.034499315
outlier,8,0.4,50,300,0.255884318
outlier,4,0.2,300,500,0.022432484
outlier,16,0.2,150,300,0.014835186
outlier,4,0.4,300,150,0.031290297
outlier,4,0.4,50,500,0.040316935
outlier,4,0,50,300,0.27174639
outlier,16,0.6,150,150,0.260291454
outlier,4,0,150,150,0.286650207
outlier,8,0.2,150,150,0.263417997
outlier,16,0.6,50,300,0.297662809
outlier,8,0.6,50,300,0.229877732
outlier,16,0.8,150,150,0.242664503
outlier,4,0.2,50,300,0.263470786
outlier,32,0,50,150,0.026145353
outlier,4,0.2,150,150,0.282235581
outlier,8,0.2,300,500,0.014960411
outlier,8,0.4,150,150,0.24464007
